829	346	5
376	577	272
809	59	86
629	209	876
154	727	707
773	482	4
1000	531	374
400	779	255
932	453	241
847	478	169
817	209	766
862	531	94
978	824	228
209	957	469
470	828	934
636	478	253
654	321	947
28	939	15
850	579	101
285	720	404
951	277	946
597	452	193
543	150	47
990	724	683
823	509	623
424	153	427
630	22	586
738	120	775
763	193	825
855	286	985
183	654	320
497	861	850
134	450	541
272	671	894
799	341	569
305	296	748
753	208	683
318	46	638
272	181	71
600	542	645
255	926	362
979	579	540
239	12	39
455	972	335
371	639	383
931	444	182
983	978	425
207	540	152
732	730	443
913	1	754
685	903	880
180	348	673
610	129	124
141	361	346
977	853	882
989	102	17
296	692	194
80	746	530
857	636	253
478	587	169
388	787	659
691	904	31
540	579	152
443	101	732
507	515	713
824	16	432
734	56	372
388	57	165
277	951	866
503	604	406
902	147	222
672	862	81
25	199	140
419	273	819
237	932	241
54	635	641
21	347	137
347	963	137
568	557	524
769	191	171
180	757	263
895	734	181
510	635	54
596	214	510
209	629	599
422	277	984
128	57	711
545	667	127
38	750	292
460	414	238
844	244	90
844	964	873
652	359	436
449	421	391
564	454	427
753	833	24
947	89	654
448	682	708
370	144	155
363	569	341
388	609	787
348	17	3
307	205	996
409	714	854
669	694	892
685	420	49
525	619	684
65	318	105
46	240	365
501	696	104
474	382	989
17	8	729
186	663	642
860	537	827
470	522	828
625	255	627
382	474	289
258	601	665
878	699	578
960	308	722
956	291	108
541	296	194
862	378	220
126	42	64
353	638	969
855	219	286
923	418	134
418	923	872
494	806	275
211	439	572
109	39	223
742	61	616
716	677	801
503	406	516
456	874	762
807	319	310
12	232	574
524	413	869
272	577	671
671	696	894
496	799	773
677	716	758
931	182	648
818	136	920
820	860	827
627	580	754
224	819	151
806	527	294
59	809	339
882	139	67
168	932	983
395	889	682
609	388	165
954	334	361
109	934	51
216	239	576
429	601	261
959	153	512
760	292	750
282	203	504
126	329	858
821	677	793
796	222	420
49	287	650
147	902	50
420	881	309
339	809	322
618	668	50
437	27	233
846	508	70
961	58	1000
888	961	795
610	67	139
129	797	124
82	171	191
161	933	41
416	123	896
414	689	765
839	156	780
813	959	856
827	710	549
670	861	549
652	530	746
509	830	632
579	979	732
979	146	730
705	922	364
705	172	481
114	577	572
105	318	638
977	900	790
121	977	67
577	582	671
622	235	204
993	87	510
605	648	408
162	244	873
474	348	180
182	397	408
336	351	960
604	914	517
710	316	132
825	818	38
912	422	401
46	318	622
577	376	572
462	153	275
346	47	150
596	444	219
397	182	562
358	899	794
392	458	384
521	2	578
9	249	649
998	158	780
545	512	153
131	78	281
271	994	458
677	821	390
517	60	350
660	917	710
92	491	207
921	7	712
528	276	468
855	251	515
635	91	405
121	322	900
55	440	870
149	418	697
672	296	541
694	675	304
795	482	426
877	265	433
898	601	982
663	186	2
868	948	352
142	708	661
422	984	401
557	421	449
777	7	404
334	494	275
376	272	57
146	979	540
730	212	913
738	919	602
919	801	602
573	703	831
133	374	697
225	174	354
980	739	520
164	324	85
357	338	104
313	616	457
413	524	167
431	219	444
363	715	867
826	925	315
147	50	668
433	265	812
812	762	874
523	19	398
611	2	521
886	258	628
77	564	813
918	346	731
334	787	609
726	745	69
715	591	867
392	42	458
478	636	217
865	368	971
222	147	837
887	845	145
435	887	55
570	151	273
275	806	462
32	111	144
138	860	227
592	651	690
781	499	860
698	536	704
935	247	75
981	853	243
50	981	618
911	753	929
767	834	617
699	116	778
146	574	232
482	93	73
187	803	985
278	389	301
554	120	821
408	648	182
341	520	715
469	957	88
349	299	973
437	550	266
377	712	953
446	264	198
755	380	374
174	225	187
100	970	484
631	778	558
908	914	84
161	455	335
30	764	72
95	154	707
912	525	95
939	328	15
899	329	126
377	953	161
618	826	315
996	552	307
367	179	887
604	238	84
170	177	15
524	231	167
413	167	863
720	285	276
528	529	774
160	100	980
100	484	500
878	944	966
578	699	521
123	924	896
700	408	548
115	926	779
522	400	18
353	561	105
200	817	617
529	583	417
201	550	437
848	200	834
727	469	88
556	991	857
109	51	239
597	405	802
43	292	760
358	664	29
363	758	645
394	374	380
450	374	531
917	210	207
167	475	863
442	901	673
572	376	211
847	296	305
217	530	587
696	671	582
110	93	501
732	101	579
288	926	443
295	696	582
284	251	164
164	985	803
985	286	48
366	2	611
822	487	993
891	718	445
70	583	529
117	135	304
961	888	192
363	782	758
123	416	726
519	716	801
81	220	37
535	465	725
938	822	63
269	651	590
433	260	877
319	762	464
623	417	583
404	956	108
48	187	985
799	980	341
793	677	758
392	919	738
371	585	958
810	794	64
615	22	630
42	126	630
301	726	942
