3013	2861	4289
151	3931	339
7221	8119	1457
2804	160	7364
9477	7920	3570
4798	6443	487
1418	2721	3270
4932	9774	7602
6353	453	4493
737	2075	9245
834	7034	6591
9745	8914	6528
9211	1388	4007
8004	311	8322
8163	970	9753
2344	7100	9818
8492	9684	7832
1539	3952	8097
2930	6123	3710
8998	3618	2635
5653	5043	6046
5091	6574	7513
3884	2526	4933
4038	1329	5243
3321	3589	7714
359	970	2234
6528	9012	581
6582	5160	5787
7210	780	8974
5379	2263	5641
5499	3036	8084
4497	2147	6933
8975	278	6694
2576	3093	6411
22	9586	2275
7287	3591	8188
4042	8173	6859
2848	7327	5347
5790	9964	3307
8395	4849	3717
2448	7742	6910
8004	6437	2694
4172	3850	6390
7713	5012	5431
7731	2717	6007
4057	7161	8289
9794	3023	4369
9522	9147	7388
1268	461	6544
7449	7084	7452
7759	7828	8009
131	3290	8921
4456	5881	8342
9424	5610	282
9618	2679	2740
170	5576	2089
320	9657	4911
7094	1656	9015
6078	4927	3791
2226	3791	623
6397	2791	2352
9369	2322	8861
4693	4907	6518
1621	8525	7782
6503	5263	7724
3881	3204	3515
4038	409	44
532	8592	9013
7258	6499	4253
5114	6371	9200
6728	5325	5452
2180	1142	1841
8083	3081	9816
1562	8931	4166
2300	2037	7261
5689	256	9857
3773	6863	9129
9473	4549	1195
3953	3243	5421
840	393	4824
506	5889	3228
725	8946	3480
5640	3459	8048
3612	7675	7311
7946	7262	9005
7272	4993	7928
9922	676	648
9820	4437	4692
5059	1895	9986
4747	8919	2481
6804	6309	3525
8404	6596	9401
9294	4942	7201
7783	6982	9702
9357	8127	5255
8377	8618	6687
7063	276	7466
1022	6653	16
7079	5869	5704
8608	2829	7797
6161	6542	8992
7274	4352	8642
3967	9047	2988
6909	3422	1970
5610	7214	8938
7517	2083	3275
7799	4382	6988
6889	7818	8011
8867	3177	9768
7790	1101	2411
6342	5967	2086
4585	8905	7151
1423	7140	5140
6469	960	5659
1094	1998	7108
377	8169	7465
1858	4951	7865
8777	5935	6634
1765	9255	1796
9517	9014	8826
8462	3337	7067
2813	3009	3863
5816	8221	6293
2765	405	1974
3926	9863	368
4334	8728	368
6949	6036	6738
9039	2872	3710
295	8357	9963
1688	1281	1782
5623	6524	2157
3781	8696	9042
7794	1626	6731
5845	4373	4281
2804	2621	4347
7786	1102	7984
3771	5253	175
